filing_dates,ticker
2015-12-21,A
2016-03-08,A
2016-06-07,A
2016-09-07,A
2016-12-20,A
2017-03-08,A
2017-06-06,A
2017-09-06,A
2017-12-21,A
2018-03-06,A
2018-05-31,A
2018-08-30,A
2018-12-20,A
2019-03-05 00:00:00,A
2016-12-01,AA
2017-03-15,AA
2017-05-10,AA
2017-08-03,AA
2017-10-27,AA
2018-02-26,AA
2018-05-09,AA
2018-08-02,AA
2018-11-02,AA
2019-02-26 00:00:00,AA
2015-11-10,AAC
2016-03-09,AAC
2016-05-06,AAC
2016-08-05,AAC
2016-11-08,AAC
2017-03-07,AAC
2017-05-04,AAC
2017-08-03,AAC
2017-11-06,AAC
2018-02-23,AAC
2018-05-09,AAC
2018-08-03,AAC
2018-11-06,AAC
2015-10-23,AAL
2016-02-24,AAL
2016-04-22,AAL
2016-07-22,AAL
2016-07-25,AAL
2016-10-20,AAL
2017-02-22,AAL
2017-04-27,AAL
2017-07-28,AAL
2017-10-26,AAL
2018-02-21,AAL
2018-04-26,AAL
2018-07-26,AAL
2018-10-25,AAL
2019-02-25 00:00:00,AAL
2015-11-09,AAMC
2016-02-29,AAMC
2016-05-09,AAMC
2016-08-08,AAMC
2016-08-16,AAMC
2016-11-07,AAMC
2017-03-01,AAMC
2017-05-09,AAMC
2017-08-08,AAMC
2017-11-07,AAMC
2018-03-01,AAMC
2018-05-08,AAMC
2018-08-09,AAMC
2018-11-07,AAMC
2019-02-27 00:00:00,AAMC
2015-11-09,AAN
2016-02-29,AAN
2016-05-06,AAN
2016-08-04,AAN
2016-11-02,AAN
2017-02-24,AAN
2017-05-03,AAN
2017-08-04,AAN
2017-10-27,AAN
2018-03-01,AAN
2018-04-26,AAN
2018-07-26,AAN
2018-10-25,AAN
2019-02-14 00:00:00,AAN
2015-11-09,AAOI
2015-12-21,AAOI
2016-03-14,AAOI
2016-05-10,AAOI
2016-08-08,AAOI
2016-08-09,AAOI
2016-11-08,AAOI
2017-03-09,AAOI
2017-05-09,AAOI
2017-08-08,AAOI
2017-11-08,AAOI
2018-02-28,AAOI
2018-05-08,AAOI
2018-08-08,AAOI
2018-11-08,AAOI
2019-02-26 00:00:00,AAOI
2015-11-17,AAP
2016-03-01,AAP
2016-05-31,AAP
2016-08-25,AAP
2016-11-15,AAP
2017-02-28,AAP
2017-05-24,AAP
2017-08-15,AAP
2017-11-14,AAP
2018-02-21,AAP
2018-05-22,AAP
2018-08-14,AAP
2018-11-13,AAP
2019-02-19 00:00:00,AAP
2015-10-28,AAPL
2016-01-27,AAPL
2016-04-27,AAPL
2016-07-27,AAPL
